coach_username,post_shortcode,post_type,likes,comments,timestamp,caption_length,has_cta,content_category,is_reel
albertojimenez,DTta-oMjd3Y,Video,1281,45,2026-01-19T22:54:25.000Z,670,False,nutrition,False
fdff_rd,DV6pr_gEYo9,Video,42,0,2026-03-15T19:15:46.000Z,231,False,lifestyle,False
antonio.gomezportela,DV1zgRWgB19,Video,356,228,2026-03-13T22:05:48.000Z,94,False,lifestyle,False
locurafitnessrd,DV16PUZjSRF,Video,14,1,2026-03-13T23:03:04.000Z,341,False,lifestyle,False
anthonypthebeast,DU0szwgjT_W,Sidecar,473,4,2026-02-16T15:14:38.000Z,542,False,testimonial,False
locurafitnessrd,DVynvVVjXDl,Video,319,5,2026-03-12T16:25:04.000Z,518,True,workout,False
antonio.gomezportela,DV6kSwCgGoj,Video,1060,454,2026-03-15T18:28:17.000Z,104,False,lifestyle,False
locurafitnessrd,DV4Lz40Ee_e,Video,22,1,2026-03-14T20:15:21.000Z,68,False,lifestyle,False
_hardtraining_,DS9L34MjZ0W,Image,22,0,2026-01-01T05:17:13.000Z,568,False,lifestyle,False
anthonypthebeast,CzcPOEbPp62,Video,227,40,2023-11-09T22:03:01.000Z,890,False,testimonial,False
anthonypthebeast,DV1H5r3jWm0,Sidecar,128,33,2026-03-13T15:42:46.000Z,726,False,lifestyle,False
anthonypthebeast,CwVPWQurVz2,Sidecar,640,150,2023-08-24T15:10:33.000Z,2115,False,testimonial,False
antonio.gomezportela,DV30PfpgJX2,Video,4558,527,2026-03-14T16:51:24.000Z,100,False,lifestyle,False
anthonypthebeast,CpTcsH6rLIj,Sidecar,758,106,2023-03-02T22:48:53.000Z,179,False,workout,False
locurafitnessrd,DVjDmoFjXM_,Video,8,0,2026-03-06T15:20:52.000Z,402,False,promotion,False
luisitofitnessreal,DV3-YEeCXR8,Video,969,114,2026-03-14T18:21:08.000Z,210,True,testimonial,False
arielmv_coach,C980IMUtx0W,Image,9,0,2024-07-28T02:50:27.000Z,479,True,testimonial,False
cirujano_fitness,DV2Ijk8EZUu,Video,715,55,2026-03-14T01:11:29.000Z,33,False,lifestyle,False
locurafitnessrd,DVbRAc1DYLs,Video,16,3,2026-03-03T14:44:59.000Z,1457,False,lifestyle,False
cirujano_fitness,DV1wIfdEbdZ,Image,314,6,2026-03-13T21:35:32.000Z,238,False,lifestyle,False
cirujano_fitness,DV4jJHQkWVI,Sidecar,189,13,2026-03-14T23:38:31.000Z,119,False,workout,False
cirujano_fitness,DVzm2MCEdcM,Video,168,12,2026-03-13T01:35:54.000Z,541,True,promotion,False
melissa.rodriguez_1,DVzWN6sDxDn,Video,40198,275,2026-03-12T23:13:36.000Z,376,False,workout,False
beto_ifbbpro,DQ7nLSHDsnC,Video,-1,9,2025-11-11T21:41:57.000Z,163,False,promotion,False
anabolic.cream,DRUe6ikDokD,Video,76,9,2025-11-21T13:24:42.000Z,87,False,lifestyle,False
rh_fitnesscoach,DUNuEeWDRT8,Image,0,0,2026-02-01T11:55:17.000Z,648,False,testimonial,False
rh_fitnesscoach,DUQLN01DXJZ,Image,0,0,2026-02-02T10:48:26.000Z,926,False,nutrition,False
flacofit.rd,C_-zp4hOaEn,Sidecar,48,8,2024-09-16T14:27:35.000Z,67,False,lifestyle,False
miltoneladas.oficial,DQxmr94kSqZ,Sidecar,151,8,2025-11-08T00:17:50.000Z,889,True,testimonial,False
dianyterrero,DV4R_UcDwcI,Video,528,36,2026-03-14T21:10:36.000Z,64,False,workout,False
cirujano_fitness,DV6wsNgkYMD,Video,581,49,2026-03-15T20:17:35.000Z,144,False,lifestyle,False
cirujano_fitness,DV0q3gmEXER,Image,335,7,2026-03-13T11:30:01.000Z,63,False,lifestyle,False
cirujano_fitness,DV6ph3rEavd,Video,652,38,2026-03-15T19:18:38.000Z,567,False,testimonial,False
rh_fitnesscoach,DUQnoGpEREx,Image,1,0,2026-02-02T14:56:42.000Z,999,True,nutrition,False
rh_fitnesscoach,DUYQfeUkt_F,Image,1,0,2026-02-05T14:08:28.000Z,31,False,lifestyle,False
rh_fitnesscoach,DUk7J0kj3by,Image,0,0,2026-02-10T12:12:08.000Z,919,True,testimonial,False
rh_fitnesscoach,DUVgrGlERp0,Image,3,1,2026-02-04T12:34:49.000Z,248,False,workout,False
beto_ifbbpro,DO64xuzAaNl,Image,-1,36,2025-09-22T21:46:17.000Z,47,False,testimonial,False
beto_ifbbpro,DVevFAnASd-,Sidecar,-1,2,2026-03-04T23:02:34.000Z,80,False,workout,False
rh_fitnesscoach,DUu-GZDFAtt,Video,1,0,2026-02-14T09:50:20.000Z,0,False,lifestyle,False
rh_fitnesscoach,DUG7GZukUSH,Image,2,0,2026-01-29T20:34:44.000Z,1881,True,promotion,False
rh_fitnesscoach,DUiR5Adj51v,Image,0,0,2026-02-09T11:33:06.000Z,1236,False,testimonial,False
rh_fitnesscoach,C9cMweNx-1v,Image,581,0,2024-07-15T10:50:43.000Z,1226,True,nutrition,False
rh_fitnesscoach,DAL97tgxe6q,Image,16,0,2024-09-21T17:07:31.000Z,792,False,testimonial,False
beto_ifbbpro,DRdJXspASzu,Sidecar,-1,7,2025-11-24T22:08:15.000Z,36,False,testimonial,False
